label,message,message_clean,label_binary
spam,¡FELICIDADES! Has ganado $5000 USD. Envía GANADOR al 4567 para reclamar tu premio AHORA,felicidades has ganado 5000 usd enva ganador al 4567 para reclamar tu premio ahora,1
ham,"Hola cariño, este es un mensaje de prueba para ver si funciona nuestro sistema",hola cario este es un mensaje de prueba para ver si funciona nuestro sistema,0
ham,Está bien y estoy practicando para el examen final,est bien y estoy practicando para el examen final,0
ham,"Terminé la clase, ¿dónde estás ahora?",termin la clase dnde ests ahora,0
spam,🔥 LIQUIDACIÓN TOTAL! Celulares desde $1. Stock limitado: celulares-fake.com,liquidacin total celulares desde 1 stock limitado celularesfakecom,1
spam,¡PREMIO GARANTIZADO! $2000 te esperan. Solo envía PREMIO al 9999,premio garantizado 2000 te esperan solo enva premio al 9999,1
spam,Congratulations! You have won a £900 prize reward! Call 09061701461 to claim,congratulations you have won a 900 prize reward call 09061701461 to claim,1
ham,"Disculpa, llegaré 10 minutos tarde a la reunión",disculpa llegar 10 minutos tarde a la reunin,0
ham,¿Puedes llamarme cuando tengas tiempo libre?,puedes llamarme cuando tengas tiempo libre,0
spam,"📺 TV 75 PULGADAS por $100. Ultra HD, Smart TV: televisores-fake.com",tv 75 pulgadas por 100 ultra hd smart tv televisoresfakecom,1
ham,El tipo del gimnasio dijo que el corte en tu labio parece herpes,el tipo del gimnasio dijo que el corte en tu labio parece herpes,0
spam,🎉 ¡Ganaste un viaje a Europa GRATIS! Confirma enviando VIAJE al 7777,ganaste un viaje a europa gratis confirma enviando viaje al 7777,1
spam,AMAZON PRIME GRATIS por 5 años. Confirma ahora: amazon-falso.com,amazon prime gratis por 5 aos confirma ahora amazonfalsocom,1
spam,💻 LAPTOPS GRATIS para estudiantes. Registro rápido: laptops-fake.com,laptops gratis para estudiantes registro rpido laptopsfakecom,1
ham,Gracias por tu mensaje. Te responderé pronto,gracias por tu mensaje te responder pronto,0
ham,"Hola, ¿cómo estás? ¿Quieres almorzar juntos hoy?",hola cmo ests quieres almorzar juntos hoy,0
spam,🎯 OFERTA EXCLUSIVA: Viagra 50% OFF. Envío discreto. Pedidos: pharma-fake.com,oferta exclusiva viagra 50 off envo discreto pedidos pharmafakecom,1
spam,OFERTA LIMITADA: Préstamos sin intereses. Aprobación inmediata: 900-888-777,oferta limitada prstamos sin intereses aprobacin inmediata 900888777,1
spam,GOBIERNO AYUDA: Subsidio de $2000 disponible. Aplica: subsidio-fake.com,gobierno ayuda subsidio de 2000 disponible aplica subsidiofakecom,1
spam,APPLE STORE: Tu iPhone necesita actualización urgente. Link: apple-falso.com,apple store tu iphone necesita actualizacin urgente link applefalsocom,1
ham,¿A qué hora es la presentación mañana?,a qu hora es la presentacin maana,0
ham,"Sí, y estoy practicando para el examen",s y estoy practicando para el examen,0
spam,💰 INVIERTE $100 y gana $5000 en 24 horas. Oportunidad única: inversion-fake.com,invierte 100 y gana 5000 en 24 horas oportunidad nica inversionfakecom,1
spam,¡GRATIS! Gana $1000 en efectivo. Texto WIN al 85023 para reclamar,gratis gana 1000 en efectivo texto win al 85023 para reclamar,1
spam,¡EMERGENCIA! Tu cuenta bancaria será cerrada HOY. Actualiza datos: mi-banco.fake,emergencia tu cuenta bancaria ser cerrada hoy actualiza datos mibancofake,1
ham,"Eres un muy buen amigo, gracias por todo",eres un muy buen amigo gracias por todo,0
spam,"🚗 AUTO NUEVO por $1000. BMW, Audi, Mercedes disponibles: autos-fake.com",auto nuevo por 1000 bmw audi mercedes disponibles autosfakecom,1
ham,¿Puedes recogerme del hospital? Estoy al lado del edificio JJH,puedes recogerme del hospital estoy al lado del edificio jjh,0
ham,¿Recibiste mi mensaje sobre el miércoles? Necesito saber si vienes,recibiste mi mensaje sobre el mircoles necesito saber si vienes,0
spam,¡URGENTE! Tu WhatsApp será suspendido. Verifica tu cuenta en: link-falso.com,urgente tu whatsapp ser suspendido verifica tu cuenta en linkfalsocom,1
spam,BANCO ALERTA: Transacción sospechosa detectada. Confirma tus datos: banco-fake.com,banco alerta transaccin sospechosa detectada confirma tus datos bancofakecom,1
ham,"El servicio de citas cuesta $100, llama al 09064012103",el servicio de citas cuesta 100 llama al 09064012103,0
ham,¿Puedes recogerme del hospital? Estoy al lado del edificio principal,puedes recogerme del hospital estoy al lado del edificio principal,0
ham,¡Hey! Mi amiga María busca compañera de piso para el próximo año,hey mi amiga mara busca compaera de piso para el prximo ao,0
ham,¿Puedes ayudarme con la tarea de matemáticas?,puedes ayudarme con la tarea de matemticas,0
ham,¿Dónde está el carro? No está en el garaje,dnde est el carro no est en el garaje,0
spam,EDUCACIÓN GRATIS: Curso de inglés online. Certificado internacional: ingles-fake.com,educacin gratis curso de ingls online certificado internacional inglesfakecom,1
ham,"La clase termina a las 5, nos vemos después",la clase termina a las 5 nos vemos despus,0
spam,💊 PASTILLAS PARA ADELGAZAR. Pierde 20kg en 1 mes. Pedidos: dieta-fake.com,pastillas para adelgazar pierde 20kg en 1 mes pedidos dietafakecom,1
ham,Gracias por el mensaje. A las chicas de la oficina les encanta,gracias por el mensaje a las chicas de la oficina les encanta,0
ham,"Disculpa por llegar tarde, había mucho tráfico",disculpa por llegar tarde haba mucho trfico,0
spam,TRABAJO DESDE CASA: Gana $3000 semanales. Sin experiencia. Info: trabajo-fake.com,trabajo desde casa gana 3000 semanales sin experiencia info trabajofakecom,1
spam,"🎮 CONSOLAS GRATIS! PS5, Xbox, Switch. Solo hoy: consolas-fake.com",consolas gratis ps5 xbox switch solo hoy consolasfakecom,1
ham,"Feliz cumpleaños, espero que la pases muy bien",feliz cumpleaos espero que la pases muy bien,0
spam,SEGURO MÉDICO GRATIS para toda tu familia. Info: seguro-fake.com,seguro mdico gratis para toda tu familia info segurofakecom,1
ham,¿Puedes contarme algo sobre ti?,puedes contarme algo sobre ti,0
spam,"🍔 COMIDA GRATIS por 1 año. McDonald's, KFC, Burger King: comida-fake.com",comida gratis por 1 ao mcdonalds kfc burger king comidafakecom,1
ham,"Terminé la clase, ¿dónde estás?",termin la clase dnde ests,0
spam,"🎊 MEGA SORTEO! Casa, auto y $50000. Participa GRATIS: sorteo-fake.com",mega sorteo casa auto y 50000 participa gratis sorteofakecom,1
spam,📱 ÚLTIMO MODELO Samsung Galaxy GRATIS. Envío hoy: samsung-fake.com,ltimo modelo samsung galaxy gratis envo hoy samsungfakecom,1
ham,Está bien. ¿A qué hora quieres que nos encontremos?,est bien a qu hora quieres que nos encontremos,0
ham,"Hey, es sábado y estoy aburrido",hey es sbado y estoy aburrido,0
spam,FELICIDADES! Fuiste seleccionado para una tarjeta de crédito de $10000,felicidades fuiste seleccionado para una tarjeta de crdito de 10000,1
spam,DINERO RÁPIDO: Préstamo de $10000 en 10 minutos. Sin papeles: prestamo-fake.com,dinero rpido prstamo de 10000 en 10 minutos sin papeles prestamofakecom,1
ham,"¡Dios mío! Encontré $1000... Hmm, estaban en mi cuenta bancaria",dios mo encontr 1000 hmm estaban en mi cuenta bancaria,0
ham,¿Está bien esa hora para ti? ¿Cuándo quieres que nos encontremos?,est bien esa hora para ti cundo quieres que nos encontremos,0
ham,¿Cómo estás? Espero que hayas tenido un buen día,cmo ests espero que hayas tenido un buen da,0
ham,"El tráfico está terrible, llegaré tarde",el trfico est terrible llegar tarde,0
ham,El médico dice que necesito descansar unos días,el mdico dice que necesito descansar unos das,0
