ham	¿Puedes recogerme del hospital? Estoy al lado del edificio JJH
spam	CORONAVIRUS: Has estado expuesto. Haz test inmediato: covid-fake.com
ham	Terminé la clase, ¿dónde estás ahora?
spam	⚡ ENERGÍA INFINITA! Batería externa que nunca se agota. Solo $19: bateria-fake.com
ham	Hola querido, tu número móvil ha sido seleccionado para recibir
spam	APPLE STORE: Tu iPhone necesita actualización urgente. Link: apple-falso.com
ham	Está bien. ¿A qué hora quieres que nos encontremos?
spam	🏆 CAMPEÓN! Ganaste entradas VIP para el Mundial. Reclama: fifa-fake.com
ham	Disculpa por no entender que 'no lo hemos visto en mucho tiempo'
spam	AMAZON PRIME GRATIS por 5 años. Confirma ahora: amazon-falso.com
ham	Eres un muy buen amigo, gracias por todo
spam	💳 TARJETA BLACK GRATIS. Límite ilimitado. Aprobación inmediata: banco-premium.fake
ham	Hola cariño, este es un mensaje de prueba para ver si funciona
spam	TRABAJO DESDE CASA: Gana $3000 semanales. Sin experiencia. Info: trabajo-fake.com
ham	Está bien y estoy practicando para el examen final
spam	🚗 AUTO NUEVO por $1000. BMW, Audi, Mercedes disponibles: autos-fake.com
ham	El servicio de citas cuesta $100, llama al 09064012103
spam	LOTERÍA NACIONAL: Ganaste $100000. Para cobrar envía LOTERIA al 8888
ham	¿Cómo estás? Espero que hayas tenido un buen día
spam	📱 ÚLTIMO MODELO Samsung Galaxy GRATIS. Envío hoy: samsung-fake.com
ham	La clase termina a las 5, nos vemos después
spam	GOBIERNO AYUDA: Subsidio de $2000 disponible. Aplica: subsidio-fake.com
ham	¿Quieres que vayamos al cine este fin de semana?
spam	🎊 MEGA SORTEO! Casa, auto y $50000. Participa GRATIS: sorteo-fake.com
ham	Gracias por la invitación, pero ya tengo planes
spam	SEGURO MÉDICO GRATIS para toda tu familia. Info: seguro-fake.com
ham	¿A qué hora terminas el trabajo hoy?
spam	💊 PASTILLAS PARA ADELGAZAR. Pierde 20kg en 1 mes. Pedidos: dieta-fake.com
ham	El médico dice que necesito descansar unos días
spam	CRIPTOMONEDAS: Invierte $50, gana $5000. Garantizado: crypto-fake.com
ham	¿Puedes ayudarme con la tarea de matemáticas?
spam	🎮 CONSOLAS GRATIS! PS5, Xbox, Switch. Solo hoy: consolas-fake.com
ham	Mi mamá pregunta si vienes a cenar el domingo
spam	EDUCACIÓN GRATIS: Curso de inglés online. Certificado internacional: ingles-fake.com
ham	¿Trajiste los documentos que te pedí?
spam	💍 JOYAS DE ORO al 90% descuento. Liquidación total: joyas-fake.com
ham	El tráfico está terrible, llegaré tarde
spam	MEDICINA CHINA: Cura cualquier enfermedad. Envío discreto: medicina-fake.com
ham	¿Quieres que compremos algo para la fiesta?
spam	🏠 CASAS DESDE $5000. Financiamiento 100%. Ver catálogo: casas-fake.com
ham	Feliz cumpleaños, espero que la pases muy bien
spam	ROPA DE MARCA original al 95% OFF. Nike, Adidas, Gucci: ropa-fake.com
ham	¿A qué hora es la presentación mañana?
spam	💻 LAPTOPS GRATIS para estudiantes. Registro rápido: laptops-fake.com
ham	Disculpa por llegar tarde, había mucho tráfico
spam	DINERO RÁPIDO: Préstamo de $10000 en 10 minutos. Sin papeles: prestamo-fake.com
ham	¿Puedes llamarme cuando tengas tiempo libre?
spam	🍔 COMIDA GRATIS por 1 año. McDonald's, KFC, Burger King: comida-fake.com
ham	La película estuvo muy buena, te la recomiendo
spam	VIAJES GRATIS a cualquier parte del mundo. Registro: viajes-fake.com
ham	¿Dónde quedamos de encontrarnos mañana?
spam	📺 TV 75 PULGADAS por $100. Ultra HD, Smart TV: televisores-fake.com
ham	Gracias por escucharme, realmente necesitaba hablar
spam	BELLEZA ETERNA: Crema antiarrugas milagrosa. 50% OFF: belleza-fake.com
ham	¿Puedes acompañarme al doctor mañana por la mañana?
